2026/04/26 23:28:11.036, 44, [N/A], 6 %, 1213 MiB
2026/04/26 23:28:21.046, 44, [N/A], 4 %, 1213 MiB
2026/04/26 23:28:31.050, 44, [N/A], 5 %, 1213 MiB
2026/04/26 23:28:41.054, 46, [N/A], 21 %, 7452 MiB
2026/04/26 23:28:51.058, 45, [N/A], 6 %, 7454 MiB
2026/04/26 23:29:01.064, 45, [N/A], 6 %, 7458 MiB
2026/04/26 23:29:11.068, 45, [N/A], 20 %, 7458 MiB
2026/04/26 23:29:21.073, 45, [N/A], 5 %, 7458 MiB
2026/04/26 23:29:31.078, 45, [N/A], 6 %, 7458 MiB
2026/04/26 23:29:41.084, 50, [N/A], 57 %, 7460 MiB
2026/04/26 23:29:51.088, 53, [N/A], 52 %, 7460 MiB
2026/04/26 23:30:01.092, 55, [N/A], 56 %, 7448 MiB
2026/04/26 23:30:11.099, 56, [N/A], 60 %, 7449 MiB
2026/04/26 23:30:21.103, 57, [N/A], 54 %, 7449 MiB
2026/04/26 23:30:31.107, 57, [N/A], 54 %, 7454 MiB
2026/04/26 23:30:41.111, 56, [N/A], 54 %, 7455 MiB
2026/04/26 23:30:51.120, 54, [N/A], 58 %, 7455 MiB
2026/04/26 23:31:01.124, 54, [N/A], 58 %, 7448 MiB
2026/04/26 23:31:11.127, 53, [N/A], 55 %, 7448 MiB
2026/04/26 23:31:21.131, 52, [N/A], 54 %, 7455 MiB
2026/04/26 23:31:31.135, 53, [N/A], 56 %, 7455 MiB
2026/04/26 23:31:41.139, 52, [N/A], 55 %, 7448 MiB
2026/04/26 23:31:51.147, 52, [N/A], 55 %, 7449 MiB
2026/04/26 23:32:01.154, 52, [N/A], 53 %, 7449 MiB
2026/04/26 23:32:11.160, 52, [N/A], 60 %, 7449 MiB
2026/04/26 23:32:21.163, 52, [N/A], 54 %, 7449 MiB
2026/04/26 23:32:31.168, 53, [N/A], 57 %, 7449 MiB
2026/04/26 23:32:41.171, 53, [N/A], 59 %, 7448 MiB
2026/04/26 23:32:51.175, 53, [N/A], 60 %, 7455 MiB
2026/04/26 23:33:01.183, 52, [N/A], 55 %, 7467 MiB
2026/04/26 23:33:11.188, 52, [N/A], 54 %, 7450 MiB
2026/04/26 23:33:21.192, 52, [N/A], 60 %, 7448 MiB
2026/04/26 23:33:31.196, 53, [N/A], 57 %, 7449 MiB
2026/04/26 23:33:41.199, 53, [N/A], 60 %, 7449 MiB
2026/04/26 23:33:51.203, 53, [N/A], 56 %, 7464 MiB
2026/04/26 23:34:01.207, 53, [N/A], 56 %, 7457 MiB
2026/04/26 23:34:11.210, 52, [N/A], 58 %, 7460 MiB
2026/04/26 23:34:21.213, 53, [N/A], 55 %, 7452 MiB
2026/04/26 23:34:31.218, 52, [N/A], 55 %, 7452 MiB
2026/04/26 23:34:41.223, 53, [N/A], 59 %, 7487 MiB
2026/04/26 23:34:51.228, 52, [N/A], 54 %, 7458 MiB
2026/04/26 23:35:01.234, 54, [N/A], 54 %, 7458 MiB
2026/04/26 23:35:11.238, 53, [N/A], 58 %, 7452 MiB
2026/04/26 23:35:21.241, 53, [N/A], 55 %, 7452 MiB
2026/04/26 23:35:31.245, 54, [N/A], 61 %, 7452 MiB
2026/04/26 23:35:41.248, 53, [N/A], 60 %, 7451 MiB
2026/04/26 23:35:51.252, 53, [N/A], 55 %, 7451 MiB
2026/04/26 23:36:01.256, 53, [N/A], 50 %, 7453 MiB
2026/04/26 23:36:11.260, 52, [N/A], 43 %, 7569 MiB
2026/04/26 23:36:21.274, 54, [N/A], 58 %, 7534 MiB
2026/04/26 23:36:31.277, 54, [N/A], 57 %, 7518 MiB
2026/04/26 23:36:41.286, 53, [N/A], 57 %, 7553 MiB
2026/04/26 23:36:51.289, 53, [N/A], 55 %, 7544 MiB
2026/04/26 23:37:01.292, 54, [N/A], 57 %, 7625 MiB
2026/04/26 23:37:11.297, 53, [N/A], 58 %, 7515 MiB
2026/04/26 23:37:21.300, 53, [N/A], 58 %, 7509 MiB
2026/04/26 23:37:31.306, 54, [N/A], 56 %, 7503 MiB
2026/04/26 23:37:41.312, 53, [N/A], 55 %, 7485 MiB
2026/04/26 23:37:51.316, 54, [N/A], 57 %, 7485 MiB
2026/04/26 23:38:01.320, 54, [N/A], 58 %, 7503 MiB
2026/04/26 23:38:11.332, 53, [N/A], 59 %, 7493 MiB
2026/04/26 23:38:21.334, 52, [N/A], 58 %, 7513 MiB
2026/04/26 23:38:31.339, 53, [N/A], 55 %, 7492 MiB
2026/04/26 23:38:41.344, 53, [N/A], 43 %, 7495 MiB
2026/04/26 23:38:51.347, 53, [N/A], 57 %, 7486 MiB
2026/04/26 23:39:01.349, 53, [N/A], 51 %, 7495 MiB
2026/04/26 23:39:11.353, 54, [N/A], 57 %, 7492 MiB
2026/04/26 23:39:21.360, 53, [N/A], 52 %, 7483 MiB
2026/04/26 23:39:31.363, 53, [N/A], 58 %, 7498 MiB
2026/04/26 23:39:41.366, 48, [N/A], 16 %, 7501 MiB
2026/04/26 23:39:51.372, 46, [N/A], 23 %, 7497 MiB
2026/04/26 23:40:01.376, 45, [N/A], 31 %, 7490 MiB
2026/04/26 23:40:11.379, 44, [N/A], 22 %, 7498 MiB
2026/04/26 23:40:21.382, 43, [N/A], 23 %, 7503 MiB
2026/04/26 23:40:31.385, 44, [N/A], 39 %, 7504 MiB
